,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
0,-41821.89563754303,-1.0,5,random,10000,2
1,-75187.20471065867,-1.0,10,random,10000,2
2,-1736268.954265346,-1.0,50,random,10000,2
3,-43036.71899886608,-1.0,5,latin_cube_u,10000,2
4,-97036.41216547617,-1.0,10,latin_cube_u,10000,2
5,-2199646.2112780088,-1.0,50,latin_cube_u,10000,2
6,-42719.26898718814,-1.0,5,latin_cube_q,10000,2
7,-100100.81981195918,-1.0,10,latin_cube_q,10000,2
8,-1835538.548756387,-1.0,50,latin_cube_q,10000,2
9,-43465.864563559524,-1.0,5,uniform,10000,2
10,-75714.46264386174,-1.0,10,uniform,10000,2
11,-1583562.2025038607,-1.0,50,uniform,10000,2
12,-35934.09422845836,0.0091,5,,10000,2
13,-35934.094401828974,0.9773,10,,10000,2
14,-35934.09431790515,0.9773,50,,10000,2
15,-44609.56848160715,-1.0,5,random,10000,2
16,-115550.1039780494,-1.0,10,random,10000,2
17,-1785709.2762158099,-1.0,50,random,10000,2
18,-55272.29628147198,-1.0,5,latin_cube_u,10000,2
19,-64991.85597404824,-1.0,10,latin_cube_u,10000,2
20,-2416068.4733466385,-1.0,50,latin_cube_u,10000,2
21,-42195.041733154794,-1.0,5,latin_cube_q,10000,2
22,-52516.64472157537,-1.0,10,latin_cube_q,10000,2
23,-1965940.3964434823,-1.0,50,latin_cube_q,10000,2
24,-51836.3066635298,-1.0,5,uniform,10000,2
25,-117234.57559840326,-1.0,10,uniform,10000,2
26,-1834988.7842718419,-1.0,50,uniform,10000,2
27,-35936.70026243128,0.9798,5,,10000,2
28,-35936.69998715774,0.9798,10,,10000,2
29,-35936.69988663981,0.9798,50,,10000,2
30,-42677.20129605945,-1.0,5,random,10000,2
31,-84233.70592447909,-1.0,10,random,10000,2
32,-1903371.1472909928,-1.0,50,random,10000,2
33,-42985.43281662601,-1.0,5,latin_cube_u,10000,2
34,-56661.148708880995,-1.0,10,latin_cube_u,10000,2
35,-1525915.6383068655,-1.0,50,latin_cube_u,10000,2
36,-43301.45339693983,-1.0,5,latin_cube_q,10000,2
37,-62279.79374222447,-1.0,10,latin_cube_q,10000,2
38,-1551787.2110213372,-1.0,50,latin_cube_q,10000,2
39,-46635.856274595244,-1.0,5,uniform,10000,2
40,-138582.92607688546,-1.0,10,uniform,10000,2
41,-1983040.5050165944,-1.0,50,uniform,10000,2
42,-35837.30251369983,0.9784,5,,10000,2
43,-35837.302083368115,0.0084,10,,10000,2
44,-35837.30234101018,0.0084,50,,10000,2
45,-47385.454409047845,-1.0,5,random,10000,2
46,-103369.22355116009,-1.0,10,random,10000,2
47,-1702761.6299684276,-1.0,50,random,10000,2
